word,reading,consensus_level,level_votes,family_level_votes,reference_sources,reference_families,support_count,candidate_type,example_meaning,relation_type,same_reading_current_forms,same_word_current_readings,jmdict_current_forms,jmdict_current_readings,jmdict_current_levels,jmdict_all_forms,jmdict_resolved,evidence_confidence,jmdict_exact_form_reading,jmdict_writing_common,jmdict_reading_common,jmdict_waller_levels,level_conflict_with_jmdict_waller,jmdict_tags,jmdict_pos,jmdict_gloss,quality_decision,priority,quality_reason,defer_reason
灯油,とうゆ,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,lamp oil; kerosene,fully-absent,,,,,,,yes,HIGH,yes,yes,yes,N2,no,,n:noun (common) (futsuumeishi),kerosene; paraffin; lamp oil,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
捕る,とる,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,to take; to catch (fish); to capture,same-reading-different-writing,取る|執る|採る|撮る,,,,,,yes,HIGH,yes,yes,yes,N2,no,,v5r:Godan verb with 'ru' ending|vt:transitive verb,"to catch (a wild animal, fish, insect, baseball, etc.); to capture",ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
南米,なんべい,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,South America,fully-absent,,,,,,,yes,HIGH,yes,yes,yes,N2,no,,n:noun (common) (futsuumeishi),South America,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
初めに,はじめに,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",waller|wordmaster,community-independent|waller-derived,2,lexical,"to begin with, first of all",fully-absent,,,,,,,yes,HIGH,yes,yes,yes,N2,no,"as the section heading of a book, etc. | uk:word usually written using kana alone","exp:expressions (phrases, clauses, etc.)",first; firstly; first of all; to begin with; in the beginning; at the beginning,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
始めに,はじめに,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,to begin with; first of all,fully-absent,,,,,,,yes,HIGH,yes,yes,yes,N2,no,"as the section heading of a book, etc. | uk:word usually written using kana alone","exp:expressions (phrases, clauses, etc.)",first; firstly; first of all; to begin with; in the beginning; at the beginning,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
判事,はんじ,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,judge; judiciary,fully-absent,,,,,,,yes,HIGH,yes,yes,yes,N2,no,,n:noun (common) (futsuumeishi),judge; judiciary,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
日の入り,ひのいり,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,sunset,fully-absent,,,,,,,yes,HIGH,yes,yes,yes,N2,no,,n:noun (common) (futsuumeishi),sunset,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
ビルディング,ビルディング,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",waller|wordmaster,community-independent|waller-derived,2,kana/loanword,building,fully-absent,,,,,,,yes,HIGH,yes,yes,yes,N2,no,,n:noun (common) (futsuumeishi),multi-floor building; multi-storey building; tall building,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
副詞,ふくし,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,adverb,same-reading-different-writing,福祉,,,,,,yes,HIGH,yes,yes,yes,N2,no,,n:noun (common) (futsuumeishi),adverb,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
符号,ふごう,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,sign; mark; symbol,same-reading-different-writing,富豪|符合,,,,,,yes,HIGH,yes,yes,yes,N2,no,,n:noun (common) (futsuumeishi),"sign; mark; symbol; code; sign (e.g. positive, negative)",ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
襖,ふすま,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,sliding screen,fully-absent,,,,,,,yes,HIGH,yes,yes,yes,N2,no,,n:noun (common) (futsuumeishi),fusuma; Japanese sliding screen,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
保健,ほけん,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,health preservation; hygiene; sanitation,same-reading-different-writing,保険,,,,,,yes,HIGH,yes,yes,yes,N2,no,,n:noun (common) (futsuumeishi),preservation of health; hygiene; sanitation; health education (school subject),ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
命ずる,めいずる,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,to command; to appoint,fully-absent,,,,,,,yes,HIGH,yes,yes,yes,N2,no,,vt:transitive verb|vz:Ichidan verb - zuru verb (alternative form of -jiru verbs),to order; to command; to appoint,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
夜行,やこう,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,walking around at night; night train; night travel,fully-absent,,,,,,,yes,HIGH,yes,yes,yes,N2,no,abbr:abbreviation,n:noun (common) (futsuumeishi)|vi:intransitive verb|vs:noun or participle which takes the aux. verb suru,"night travel; walking around at night; night train; nightly procession of monsters, spirits, etc.",ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
家主,やぬし,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,landlord,fully-absent,,,,,,,yes,HIGH,yes,yes,yes,N2,no,,n:noun (common) (futsuumeishi),landlord; landlady; house owner; home owner; head of the household,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
幼稚,ようち,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,infancy; childish; infantile,fully-absent,,,,,,,yes,HIGH,yes,yes,yes,N2,no,,adj-na:adjectival nouns or quasi-adjectives (keiyodoshi)|n:noun (common) (futsuumeishi),infancy; childish; infantile; immature; primitive,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
羊毛,ようもう,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,wool,fully-absent,,,,,,,yes,HIGH,yes,yes,yes,N2,no,,adj-no:nouns which may take the genitive case particle 'no'|n:noun (common) (futsuumeishi),wool,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
酔っ払い,よっぱらい,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,drunkard,fully-absent,,,,,,,yes,HIGH,yes,yes,yes,N2,no,,n:noun (common) (futsuumeishi),drunkard,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
論ずる,ろんずる,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,to argue; to discuss; to debate,fully-absent,,,,,,,yes,HIGH,yes,yes,yes,N2,no,usu. in negative sentences,vt:transitive verb|vz:Ichidan verb - zuru verb (alternative form of -jiru verbs),to discuss; to talk about; to deal with (a topic); to argue; to dispute; to take into consideration,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
和英,わえい,N2,"{""N2"": 2}","{""community-independent"": ""N2"", ""waller-derived"": ""N2""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,Japanese-English,fully-absent,,,,,,,yes,HIGH,yes,yes,yes,N2,no,abbr:abbreviation,n:noun (common) (futsuumeishi),Japanese-English; Japanese-English dictionary,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
割合に,わりあいに,N2,"{""N1"": 1, ""N2"": 1}","{""community-independent"": ""N2"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,comparatively,fully-absent,,,,,,,yes,HIGH,yes,yes,yes,N2,no,,adv:adverb (fukushi),comparatively,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
アワー,アワー,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",waller|wordmaster,community-independent|waller-derived,2,kana/loanword,hour,fully-absent,,,,,,,yes,HIGH,yes,yes,yes,N1,no,,n:noun (common) (futsuumeishi),hour,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
売り出し,うりだし,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,(bargain) sale,fully-absent,,,,,,,yes,HIGH,yes,yes,yes,N1,no,,n:noun (common) (futsuumeishi),(bargain) sale,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
運輸,うんゆ,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,transportation,fully-absent,,,,,,,yes,HIGH,yes,yes,yes,N1,no,,n:noun (common) (futsuumeishi),transportation,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
演ずる,えんずる,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,to perform; to play,fully-absent,,,,,,,yes,HIGH,yes,yes,yes,N1,no,,vt:transitive verb|vz:Ichidan verb - zuru verb (alternative form of -jiru verbs),"to act (a part); to play (a role); to perform (a play, etc.); to put on (a production); to commit (a blunder); to pretend (e.g. to be a good father)",ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
お産,おさん,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,(giving) birth,fully-absent,,,,,,,yes,HIGH,yes,yes,yes,N1,no,pol:polite (teineigo) language,n:noun (common) (futsuumeishi),(giving) birth; childbirth; delivery,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
街道,かいどう,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,highway,fully-absent,,,,,,,yes,HIGH,yes,yes,yes,N1,no,,n:noun (common) (futsuumeishi),highway (esp. one existing from the Edo period); main road; highway (e.g. to success); path (to becoming ...); subdistrict (in China),ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
化合,かごう,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,chemical combination,fully-absent,,,,,,,yes,HIGH,yes,yes,yes,N1,no,,n:noun (common) (futsuumeishi)|vi:intransitive verb|vs:noun or participle which takes the aux. verb suru,chemical combination,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
化繊,かせん,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,synthetic fibres,same-reading-different-writing,下線|寡占|河川,,,,,,yes,HIGH,yes,yes,yes,N1,no,abbr:abbreviation,n:noun (common) (futsuumeishi),synthetic fiber; synthetic fibre; chemical fiber; chemical fibre,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
観衆,かんしゅう,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,spectators; onlookers; members of the audience,same-reading-different-writing,慣習|監修,,,,,,yes,HIGH,yes,yes,yes,N1,no,,n:noun (common) (futsuumeishi),spectators; onlookers; members of the audience,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
幹線,かんせん,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,main line; trunk line,same-reading-different-writing,感染|汗腺|観戦,,,,,,yes,HIGH,yes,yes,yes,N1,no,,adj-no:nouns which may take the genitive case particle 'no'|n:noun (common) (futsuumeishi),main line; trunk line,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
ガレージ,ガレージ,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",waller|wordmaster,community-independent|waller-derived,2,kana/loanword,garage (at house),fully-absent,,,,,,,yes,HIGH,yes,yes,yes,N1,no,,n:noun (common) (futsuumeishi),garage,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
眼科,がんか,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,ophthalmology,fully-absent,,,,,,,yes,HIGH,yes,yes,yes,N1,no,,adj-no:nouns which may take the genitive case particle 'no'|n:noun (common) (futsuumeishi),ophthalmology,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
汽船,きせん,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,steamship,fully-absent,,,,,,,yes,HIGH,yes,yes,yes,N1,no,,n:noun (common) (futsuumeishi),steamship; steamboat; steamer,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
客観,きゃっかん,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,objective,fully-absent,,,,,,,yes,HIGH,yes,yes,yes,N1,no,,adj-no:nouns which may take the genitive case particle 'no'|n:noun (common) (futsuumeishi),objectivity; objective; object (philosophical),ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
休学,きゅうがく,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,temporary absence from school; suspension,fully-absent,,,,,,,yes,HIGH,yes,yes,yes,N1,no,,n:noun (common) (futsuumeishi)|vs:noun or participle which takes the aux. verb suru|vt:transitive verb,temporary absence from school,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
休戦,きゅうせん,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,truce; armistice,fully-absent,,,,,,,yes,HIGH,yes,yes,yes,N1,no,,n:noun (common) (futsuumeishi)|vi:intransitive verb|vs:noun or participle which takes the aux. verb suru,cease-fire; truce; armistice,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
共学,きょうがく,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,coeducation,same-reading-different-writing,驚愕,,,,,,yes,HIGH,yes,yes,yes,N1,no,,n:noun (common) (futsuumeishi)|vi:intransitive verb|vs:noun or participle which takes the aux. verb suru,coeducation; mixed-sex education,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
議事堂,ぎじどう,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,Diet building,fully-absent,,,,,,,yes,HIGH,yes,yes,yes,N1,no,,n:noun (common) (futsuumeishi),assembly hall; parliament house; diet building; capitol; houses of parliament; congress hall,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
原書,げんしょ,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,original document,same-reading-different-writing,原初,,,,,,yes,HIGH,yes,yes,yes,N1,no,,n:noun (common) (futsuumeishi),original document (not a copy or adaptation); book in its original language (esp. a European language),ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
言論,げんろん,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,discussion,fully-absent,,,,,,,yes,HIGH,yes,yes,yes,N1,no,,n:noun (common) (futsuumeishi),(one's) speech; expression of views; discussion,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
高尚,こうしょう,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,high; noble; refined,same-reading-different-writing,交渉,,,,,,yes,HIGH,yes,yes,yes,N1,no,,adj-na:adjectival nouns or quasi-adjectives (keiyodoshi)|n:noun (common) (futsuumeishi),high; noble; refined; advanced,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
行進,こうしん,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,march; parade,same-reading-different-writing,交信|更新,,,,,,yes,HIGH,yes,yes,yes,N1,no,,n:noun (common) (futsuumeishi)|vi:intransitive verb|vs:noun or participle which takes the aux. verb suru,march; parade,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
公然,こうぜん,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,open (e.g. secret); public; official,fully-absent,,,,,,,yes,HIGH,yes,yes,yes,N1,no,,adj-no:nouns which may take the genitive case particle 'no'|adj-t:'taru' adjective|adv-to:adverb taking the 'to' particle,open; public; official; overt,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
抗争,こうそう,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,dispute; resistance,same-reading-different-writing,構想|高層,,,,,,yes,HIGH,yes,yes,yes,N1,no,,n:noun (common) (futsuumeishi)|vi:intransitive verb|vs:noun or participle which takes the aux. verb suru,rivalry; feud; conflict; dispute; struggle; strife,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
後退,こうたい,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,retreat; backspace (BS),same-reading-different-writing,交代|抗体,,,,,,yes,HIGH,yes,yes,yes,N1,no,,n:noun (common) (futsuumeishi)|vi:intransitive verb|vs:noun or participle which takes the aux. verb suru,retreat; falling back; moving backwards; reversing; backing up (of a vehicle); retrogression,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
購読,こうどく,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,subscription (e.g. magazine),same-reading-different-writing,講読,,,,,,yes,HIGH,yes,yes,yes,N1,no,,adj-no:nouns which may take the genitive case particle 'no'|n:noun (common) (futsuumeishi)|vs:noun or participle which takes the aux. verb suru|vt:transitive verb,"buying and reading (book, magazine, etc.); subscribing (incl. free subscriptions); taking (e.g. newspaper)",ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
公用,こうよう,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,government business; public use; public expense,same-reading-different-writing,効用|紅葉|高揚|黄葉,,,,,,yes,HIGH,yes,yes,yes,N1,no,,adj-no:nouns which may take the genitive case particle 'no'|n:noun (common) (futsuumeishi),official business; government business; public business; company duties; public use; government use,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
国防,こくぼう,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,national defence,same-reading-different-writing,国貿,,,,,,yes,HIGH,yes,yes,yes,N1,no,,n:noun (common) (futsuumeishi),national defence; national defense,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
合議,ごうぎ,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,consultation; conference,same-reading-different-writing,豪儀,,,,,,yes,HIGH,yes,yes,yes,N1,no,,n:noun (common) (futsuumeishi)|vi:intransitive verb|vs:noun or participle which takes the aux. verb suru|vt:transitive verb,consultation; conference; discussion; counsel,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
サンキュー,サンキュー,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",waller|wordmaster,community-independent|waller-derived,2,kana/loanword,thank you,fully-absent,,,,,,,yes,HIGH,yes,yes,yes,N1,no,col:colloquial,int:interjection (kandoushi),thank you; thanks,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
産婦人科,さんふじんか,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,maternity and gynecology department,fully-absent,,,,,,,yes,HIGH,yes,yes,yes,N1,no,,n:noun (common) (futsuumeishi),maternity and gynaecology department (gynecology); department of obstetrics and gynaecology (gynecology),ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
財源,ざいげん,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,source of funds; resources; finances,fully-absent,,,,,,,yes,HIGH,yes,yes,yes,N1,no,,n:noun (common) (futsuumeishi),source of funds; resources; finances,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
子息,しそく,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,son,fully-absent,,,,,,,yes,HIGH,yes,yes,yes,N1,no,oft. ご〜,n:noun (common) (futsuumeishi),(another's) son,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
主体,しゅたい,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,subject; main constituent,fully-absent,,,,,,,yes,HIGH,yes,yes,yes,N1,no,,n:noun (common) (futsuumeishi),main constituent; core; nucleus; subject,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
守備,しゅび,N1,"{""N1"": 2}","{""community-independent"": ""N1"", ""waller-derived"": ""N1""}",openjlpt|waller|wordmaster,community-independent|waller-derived,2,lexical,defense,same-reading-different-writing,首尾,,,,,,yes,HIGH,yes,yes,yes,N1,no,,adj-no:nouns which may take the genitive case particle 'no'|n:noun (common) (futsuumeishi)|vs:noun or participle which takes the aux. verb suru|vt:transitive verb,defense; defence; fielding,ADD_HIGH_CONFIDENCE,P1,Supported by >=2 independent reference families and exact JMdict form is common.,no-reliable-traditional-chinese-meaning
